id,artist,title,album,play_count,release_date,duration,album_art,favorite,timestamp
10781,Sierra Ferrell,Why Haven’t You Loved Me Yet,Trail Of Flowers,0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/75260801169d3db2c83a4a9adddea70a.jpg,0,1714180065
10782,Sierra Ferrell,I Could Drive You Crazy,Trail Of Flowers,0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/75260801169d3db2c83a4a9adddea70a.jpg,0,1714179846
10783,Sierra Ferrell,Money Train,Trail Of Flowers,0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/75260801169d3db2c83a4a9adddea70a.jpg,0,1714179685
10784,Sierra Ferrell,Wish You Well,Trail Of Flowers,0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/75260801169d3db2c83a4a9adddea70a.jpg,0,1714179466
10785,Sierra Ferrell,Chittlin’ Cookin’ Time In Cheatham County,Trail Of Flowers,0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/75260801169d3db2c83a4a9adddea70a.jpg,0,1714179282
10786,Sierra Ferrell,Fox Hunt,Trail Of Flowers,0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/75260801169d3db2c83a4a9adddea70a.jpg,0,1714179083
10787,Sierra Ferrell,Dollar Bill Bar,Trail Of Flowers,0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/75260801169d3db2c83a4a9adddea70a.jpg,0,1714178872
10788,Sierra Ferrell,American Dreaming,Trail Of Flowers,0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/75260801169d3db2c83a4a9adddea70a.jpg,0,1714178611
10789,Ellie Jackson,Dinner with a Friend,Dinner with a Friend / Dream Girl,0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png,0,1714163822
10790,The Menzingers,Try,Some Of It Was True,0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/3faf80b51ed9f99bd3ead61df7a1a499.jpg,0,1714162973
10791,The Teskey Brothers,This Will Be Our Year,The Winding Way,0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/1077e7679613c304d2e6e5af3b23629b.jpg,0,1714161433
10792,The Teskey Brothers,This Will Be Our Year,The Winding Way,0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/1077e7679613c304d2e6e5af3b23629b.jpg,0,1714161432
10793,who is she?,MoviePass,Goddess Energy,0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/fc0d95c8e46737b191d706e41f97809e.jpg,0,1714161314
10794,who is she?,MoviePass,Goddess Energy,0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/fc0d95c8e46737b191d706e41f97809e.jpg,0,1714161312
10795,Chika,PRODIGY,SAMSON: The album,0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/6aee83ba8f0337fca7c319cb69cd1319.jpg,0,1714161034
10796,Chika,PRODIGY,SAMSON: The album,0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/6aee83ba8f0337fca7c319cb69cd1319.jpg,0,1714161033
10797,Magazine Beach,Summer Hits,Constant Springtime,0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/b61a6909ead4343400ec2b826ca66fa1.jpg,0,1714160873
10798,Magazine Beach,Summer Hits,Constant Springtime,0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/b61a6909ead4343400ec2b826ca66fa1.jpg,0,1714160866
10799,Glitterer,I Want to Be Invisible,Rationale,0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/6c927caa25f890ff3b36f9149f77f3ba.jpg,0,1714156928
10800,Mildura,Worried,June & July,0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/8342e5799cff1100bd05697b98840e2b.jpg,0,1714155991
10801,Mildura,Worried,June & July,0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/8342e5799cff1100bd05697b98840e2b.jpg,0,1714155989
