id,artist,title,album,release_date,album_art,timestamp
98,Kendrick Lamar,hey now (feat. Dody6),GNX,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/a79564a9768d05272682b252deb02079.png,1732502192
99,Kendrick Lamar,man at the garden,GNX,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/a79564a9768d05272682b252deb02079.png,1732501959
100,Kendrick Lamar,luther (with SZA),GNX,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/a79564a9768d05272682b252deb02079.png,1732501782
101,Kendrick Lamar,squabble up,GNX,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/a79564a9768d05272682b252deb02079.png,1732501624
102,Kendrick Lamar,wacced out murals,GNX,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/a79564a9768d05272682b252deb02079.png,1732501308
103,Say Lou Lou,Casual Man,Dust,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/bd211cf846781790bd792134e26c1ade.png,1732497598
104,Say Lou Lou,Wish I Could Hold You,Dust,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/bd211cf846781790bd792134e26c1ade.png,1732497367
105,Say Lou Lou,Dust,Dust,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/bd211cf846781790bd792134e26c1ade.png,1732497148
106,Say Lou Lou,Wong Kar-wai,Dust,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/bd211cf846781790bd792134e26c1ade.png,1732496950
107,Say Lou Lou,Waiting for a Boy,Dust,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/bd211cf846781790bd792134e26c1ade.png,1732496664
108,Say Lou Lou,Blue Ruin,Dust,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/bd211cf846781790bd792134e26c1ade.png,1732496413
109,Father John Misty,Summer’s Gone,Mahashmashana,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/6ba4a9f271b2013b0b2d496120953dc6.jpg,1732496155
110,Father John Misty,I Guess Time Just Makes Fools of Us All,Mahashmashana,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/6ba4a9f271b2013b0b2d496120953dc6.jpg,1732495640
111,Father John Misty,Being You,Mahashmashana,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/6ba4a9f271b2013b0b2d496120953dc6.jpg,1732495327
112,Father John Misty,Screamland,Mahashmashana,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/6ba4a9f271b2013b0b2d496120953dc6.jpg,1732494915
113,Father John Misty,Mental Health,Mahashmashana,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/6ba4a9f271b2013b0b2d496120953dc6.jpg,1732489123
114,Father John Misty,Josh Tillman and the Accidental Dose,Mahashmashana,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/6ba4a9f271b2013b0b2d496120953dc6.jpg,1732488811
115,Father John Misty,She Cleans Up,Mahashmashana,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/6ba4a9f271b2013b0b2d496120953dc6.jpg,1732478928
116,Father John Misty,Mahashmashana,Mahashmashana,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/6ba4a9f271b2013b0b2d496120953dc6.jpg,1732478369
117,Kendrick Lamar,gloria (feat. SZA),GNX,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/a79564a9768d05272682b252deb02079.png,1732477982
118,Kendrick Lamar,"gnx (feat. hitta j3, youngthreat, peysoh)",GNX,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/a79564a9768d05272682b252deb02079.png,1732477788
119,Kendrick Lamar,heart pt. 6,GNX,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/a79564a9768d05272682b252deb02079.png,1732477496
120,Kendrick Lamar,peekaboo (feat. AzChike),GNX,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/a79564a9768d05272682b252deb02079.png,1732477340
121,Kendrick Lamar,"dodger blue (feat. wallie the sensei, roddy ricch, siete7x)",GNX,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/a79564a9768d05272682b252deb02079.png,1732477209
122,Kendrick Lamar,tv off (feat. Lefty Gunplay),GNX,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/a79564a9768d05272682b252deb02079.png,1732476988
123,Kendrick Lamar,reincarnated,GNX,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/a79564a9768d05272682b252deb02079.png,1732476712
124,Kendrick Lamar,hey now (feat. Dody6),GNX,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/a79564a9768d05272682b252deb02079.png,1732476495
125,Kendrick Lamar,man at the garden,GNX,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/a79564a9768d05272682b252deb02079.png,1732476262
126,Kendrick Lamar,luther (with SZA),GNX,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/a79564a9768d05272682b252deb02079.png,1732476084
127,Kendrick Lamar,squabble up,GNX,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/a79564a9768d05272682b252deb02079.png,1732475926
128,Kendrick Lamar,wacced out murals,GNX,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/a79564a9768d05272682b252deb02079.png,1732475610
129,Known Moons,By the Billions,Everything Is,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/b198c95d077a143f015075f005e90420.jpg,1732474640
130,Known Moons,Simultaneous Highs,Everything Is,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/b198c95d077a143f015075f005e90420.jpg,1732474398
131,Known Moons,This Hell,Everything Is,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/b198c95d077a143f015075f005e90420.jpg,1732465222
132,Known Moons,A Coffin for the Cosmos,Everything Is,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/b198c95d077a143f015075f005e90420.jpg,1732465039
133,Mr. Mitch,Metroid,The Lost Boy,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/0bd61869aeda0a69675b32f9236d8d89.jpg,1732406992
134,Mr. Mitch,Replicant,The Lost Boy,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/0bd61869aeda0a69675b32f9236d8d89.jpg,1732406813
135,Boldy James,Rabies (feat. Benny The Butcher),The Bricktionary,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/2dcbb23085c72d3a3d94bf8a479e8bf3.jpg,1732406705
136,Boldy James,Pressin' My Bunk,The Bricktionary,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/2dcbb23085c72d3a3d94bf8a479e8bf3.jpg,1732406538
137,Soap&Skin,Mystery Of Love,TORSO,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/f614a89873964e9741dac361a4fc703a.jpg,1732405506
138,Rogê,Curyman,Curyman II,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/55223e7778426cfd87bd65b52ddb62f8.jpg,1732402098
139,Moaning Lisa,fainter,fainter,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/76d8c269f728ab5e1478d9ac747c4e49.jpg,1732401955
140,Jack Kays,The Rug,DEADBEAT!,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/2db3ab102153322d065855ca83b9f641.jpg,1732401778
141,Jack Kays,Blow It,DEADBEAT!,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/2db3ab102153322d065855ca83b9f641.jpg,1732401615
142,Daryl Johns,Happy,Daryl Johns,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/1a365f86d7b82b07c51d0b174ec2cb34.jpg,1732401450
143,Daryl Johns,Corner Store,Daryl Johns,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/1a365f86d7b82b07c51d0b174ec2cb34.jpg,1732401202
144,Michael Kiwanuka,Live For Your Love,Small Changes,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/52e7ac80552fb6377c37741fce858968.png,1732400948
145,Michael Kiwanuka,Follow Your Dreams,Small Changes,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/52e7ac80552fb6377c37741fce858968.png,1732400728
146,Michael Kiwanuka,Lowdown (part ii),Small Changes,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/52e7ac80552fb6377c37741fce858968.png,1732400568
