Album Name,Artist Name(s),Track Name,Popularity,Release Date,Genres,Record Label,track_count
Going Through It,Eliza McLamb,Mythologize Me,40,2024-01-19,gen z singer-songwriter,Royal Mountain Records,12
Good Game Baby,Bats,Are you like me?,13,2024-03-01,,1824783 Records DK,9
HEAVY,SiR,SATISFACTION,53,2024-03-22,"alternative r&b,la pop",TDE Music LLC,16
Harlequin,Lady Gaga,Happy Mistake,69,2024-09-27,"art pop,dance pop,pop",Lil Monsters LLC under exclusive license to Interscope Records,13
Harm's Way,Ducks Ltd.,Harm’s Way,22,2024-02-09,modern jangle pop,Carpark Records,9
Harmonics,Joe Goddard,Moments Die,33,2024-07-12,"electronica,indie soul,nu disco,brooklyn indie,chill dream pop,indie pop",Domino Recording Co,14
Hells Welles,Jesse Welles,War Isn't Murder,49,2024-07-04,,Jesse Welles,21
Here in the Pitch,Jessica Pratt,Life Is,47,2024-05-03,"ambient folk,art pop,freak folk",Mexican Summer,9
High Roller,Sima Cunningham,Nothing,10,2024-08-30,,Ruination Record Co.,10
Hiyo,Chatham County Line,Way Down Yonder,10,2024-01-26,"banjo,mandolin,north carolina roots,progressive bluegrass",Yep Roc Records,11
Hole Erth,Toro y Moi,Madonna,51,2024-09-06,"chillwave,hypnagogic pop,indie soul,indietronica,rap",Dead Oceans,13
Hovvdy,Hovvdy,Forever,35,2024-04-26,"austindie,countrygaze,small room",Arts & Crafts Productions Inc.,19
How To Begin,Downhaul,Blue Flame,7,2024-09-20,diy emo,Self Aware Records,10
Hypocrite,Stephanie Lambring,Good Mother,5,2024-04-19,nashville singer-songwriter,Almost Autonomous Records,10
I'M DOING IT AGAIN BABY!,girl in red,You Need Me Now? (feat. Sabrina Carpenter),66,2024-04-12,"bedroom pop,indie pop,norwegian indie,pov: indie,pop",Columbia,20
I'd Say I'm Not Fine,Barely Civil,Not Fine,8,2024-03-22,"5th wave emo,diy emo,wisconsin indie",Take This To Heart,10
IV,We Are The Willows,Irony As It Relates To Complacency,1,2024-08-29,"minneapolis indie,stomp pop",Youngbloods,8
Iechyd Da,Bill Ryder-Jones,We Don’t Need Them,26,2024-01-12,"liverpool indie,solo wave",Domino Recording Co,13
Is This Thing On?,Is This Thing On,Canadian Bride,2,2024-02-16,,Casino Time Records,10
It's Sorted,Cheekface,Popular 2,29,2024-01-22,bubblegrunge,Cheekface,10
"I’m Sorry, Now Say It Back",Thelma Plum,I Don’t Play That Song Anymore,34,2024-10-18,"australian indie,australian indigenous music",WM Australia,12
Kantos,Kishi Bashi,Colorful State,35,2024-08-23,"chamber pop,metropopolis,shimmer pop,stomp and whittle",Joyful Noise Recordings,12
King Of The Mischievous South Vol. 2,Denzel Curry,HOT ONE (with TiaCorine & A$AP Ferg),67,2024-07-19,"dark trap,drill,hip hop,miami hip hop,rap,trap,underground hip hop,trap queen,pop rap,southern hip hop",Loma Vista Recordings,15
Leon,Leon Bridges,Panther City,61,2024-10-04,"indie folk,modern blues,neo mellow,neo soul,soul",Columbia,13
Letter to Self,SPRINTS,Literary Mind,31,2024-01-05,"crank wave,irish indie rock,irish post-punk",City Slang,11
Like Someone I Know: A Celebration of Margo Guryan,Rahill,Sun,26,2024-11-08,modern indie pop,Sub Pop Records,12
Lola,Goth Babe,Crocodile,58,2024-01-26,"indie rock,pov: indie",Mom+Pop,11
Long Way Home,Ray LaMontagne,Step Into Your Power,46,2024-08-16,"acoustic pop,indie folk,neo mellow,new americana,stomp and holler",Liula Records,9
Love Letters,Janelane,Your Own Ride Home,2,2024-04-12,socal indie,Kingfisher Bluez,10
Mary Boone,Vampire Weekend,Mary Boone,24,2024-03-28,"baroque pop,chamber pop,garage rock,indie rock,indietronica,modern rock",Columbia,4
Meet the Lostines,The Lostines,Full Moon Night,21,2024-04-26,new orleans americana,Gar Hole Records,11
Memoir of a Sparklemuffin,Suki Waterhouse,Blackout Drunk,60,2024-09-13,indie pop,Sub Pop Records,18
Metamorphosis Complete,Infinity Song,Sinking Boat,56,2024-06-14,,"Roc Nation Records, LLC",12
"Michael & The Mighty Midnight Revival, Songs For Sinners And Saints",Killer Mike,STILL TALK’N THAT SHIT,50,2024-08-02,"alternative hip hop,atl hip hop,conscious hip hop,hip hop,old school atlanta hip hop,political hip hop,southern hip hop,memphis hip hop,rap,tennessee hip hop,trap,crunk,dirty south rap,gangster rap",Loma Vista Recordings,10
Milton + esperanza,Milton Nascimento,A Day in the Life,41,2024-08-09,"bossa nova,mpb,musica popular mineira,samba,electric bass,jazz,jazz pop,vocal jazz",Concord Records,16
"Mind, Man, Medicine",The Secret Sisters,All the Ways (feat. Ray LaMontagne),52,2024-03-29,"folk,indie folk,new americana,acoustic pop,neo mellow,stomp and holler",New West Records,11
Mirror Starts Moving Without Me,Pom Pom Squad,Messages,40,2024-10-25,bubblegrunge,City Slang,11
"Mirror, Reflect",Amy O,Dribble Dribble,17,2024-05-10,,Winspear,12
Mood Swings,Marcus King,F*ck My Life Up Again,49,2024-04-05,"modern blues,modern blues rock",Republic Records,11
"My Light, My Destroyer",Cassandra Jenkins,Omakase,33,2024-07-12,countrygaze,Dead Oceans,13
No Obligation,The Linda Lindas,All In My Head,47,2024-10-11,riot grrrl,Epitaph,12
No One Gets Out Alive,Maggie Rose,Under The Sun,18,2024-04-05,,Big Loud Records,12
No Souvenirs,Fightmilk,Canines,12,2024-11-15,london indie,Fika Recordings|Insert Name Here Records,12
OBSERVATIONS FROM A CROWDED ROOM,Joy Oladokun,AM I?,45,2024-10-18,"black americana,la pop",Joy Oladokun,15
OUCH,HONNE,Say That You Will Wait For Me,38,2024-09-06,uk pop,Smile More Recordings LLP,16
On the Northline,Frontier Ruckus,I'm Not the Boy,2,2024-02-16,"ann arbor indie,banjo,detroit indie,michigan indie,stomp and holler",Loose,12
One Million Love Songs,Bnny,Changes,27,2024-04-05,countrygaze,Fire Talk,11
Orillia,Orillia,Pontoon Boat,4,2024-11-19,,Magic Mothswarm,8
Our Brand Could Be Yr Life,BODEGA,Tarkovski,28,2024-04-12,"canadian psychedelic rock,crank wave",Chrysalis Records,15
Oyster Cuts,Quivers,Apparition,29,2024-08-09,tassie indie,Merge Records,10
Package Pt. 2,Gustaf,What Does it Mean,29,2024-04-05,"art punk,crank wave",Royal Mountain Records,12
